"SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue"
"Gasterosteus_sp.","Gasterosteus sp.","Enos lake stickleback","Gasterosteus","Gasterosteidae","Gasterosteiformes","Actinopterygii","Chordata","Animalia","Actinopterygii",NA,NA,"Velez-Espino; Koops","Ecol Model","2012","10.1016/j.ecolmodel.2012.09.022",NA,NA,NA,NA,NA,NA,"No","Yes","No","Enos Lake; Misty Lake",NA,NA,NA,"CAN","N America",NA,"A","Mean","Unmanipulated","W",NA,NA,"FRANK",NA,NA,"FRANK","Divided","Yes","FRANK; Mature at age 0",3,0.094
"Notropis_photogenis_2","Notropis photogenis","Silver shiner","Notropis","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","Actinopterygii",NA,NA,"Young; Koops","Fish & Oceans Can","2012a",NA,NA,1,2011,2011,"1",4,"No","No","Yes","Grand River; Thames River; Bronte Creek; Sixteen Mile Creek",NA,NA,NA,"CAN","N America",NA,"F","Mean","Unmanipulated","W",2011,NA,"5",2011,NA,"7","Divided","Yes","Life history estimates for Silver Shiner were based on sampling data from Canadian populations collected between May 31 and July 13 2011; fecundity estimates were extrapolated on the literature for the closely related Emerald Shiner; FRANK matrix",11,0.66
"Acropora_hyacinthus","Acropora hyacinthus","Brush coral","Acropora","Acroporidae","Scleractinia","Anthozoa","Cnidaria","Animalia","Anthozoa",NA,NA,"Tanner","J Exp Mar Biol & Ecol","1997","10.1016/S0022-0981(97)00024-5",NA,2,1992,1993,"1",3,"Extent","No","No","Heron Island",-23.4333333333333,151.916666666667,0,"AUS","Oceania","TRC","H","Pooled","Unmanipulated","W",1992,NA,NA,1993,NA,NA,"Divided","No","No competition",4,0
"Acropora_hyacinthus","Acropora hyacinthus","Brush coral","Acropora","Acroporidae","Scleractinia","Anthozoa","Cnidaria","Animalia","Anthozoa",NA,NA,"Tanner","J Exp Mar Biol & Ecol","1997","10.1016/S0022-0981(97)00024-5",NA,2,1992,1993,"1",3,"Extent","No","No","Heron Island",-23.4333333333333,151.916666666667,0,"AUS","Oceania","TRC","H","Pooled","Unmanipulated","W",1992,NA,NA,1993,NA,NA,"Divided","No","Competition vs. A. formosa",4,0
"Acropora_hyacinthus","Acropora hyacinthus","Brush coral","Acropora","Acroporidae","Scleractinia","Anthozoa","Cnidaria","Animalia","Anthozoa",NA,NA,"Tanner","J Exp Mar Biol & Ecol","1997","10.1016/S0022-0981(97)00024-5",NA,2,1992,1993,"1",3,"Extent","No","No","Heron Island",-23.4333333333333,151.916666666667,0,"AUS","Oceania","TRC","H","Pooled","Unmanipulated","W",1992,NA,NA,1993,NA,NA,"Divided","No","Competition vs. Encrusted branches",4,0
"Gorgonia_ventalina","Gorgonia ventalina","Common sea fan","Gorgonia","Gorgoniidae","Alcyonacea","Anthozoa","Cnidaria","Animalia","Anthozoa",NA,NA,"Sabat; Toledo-Hernández","J Marin Biol","2015","10.1155/2015/987060","Toledo-Hernández et al. Mar Ecol Prog Ser 2009",1,2006,2007,"4",150,"Surface area of live tissue","Yes","No","Puerto Rico east coast",NA,NA,NA,"PRI","N America","TRU","A","Mean","Unmanipulated","W",2006,"2","7",2007,"3","10","Divided","Yes",NA,6,1.00498840521
"Alcedo_atthis","Alcedo atthis","European kingfisher","Alcedo","Alcedinidae","Coraciiformes","Aves","Chordata","Animalia","Aves",NA,NA,"Gleason; Nacci","Hum & Ecol Risk Assess","2001","10.1080/20018091094835","Bunzel Book 1989",NA,NA,NA,"1",1,"No","No","Yes",NA,NA,NA,NA,NA,NA,NA,"F","Pooled",NA,NA,NA,NA,NA,NA,NA,NA,"Divided","Yes",NA,13,NA
"Aquila_fasciata_2","Aquila fasciata","Bonelli's eagle","Aquila","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","Aves",NA,NA,"Chevallier; Hernandez-Matias; Real; Vincent-Martin; Ravayrol; Basnard","J Appl Ecol","2015","10.1111/1365-2664.12476",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mean","Unmanipulated","W",1990,NA,NA,2009,NA,NA,"Divided","Yes",NA,6,0.522
"Myioborus_miniatus_2","Myioborus miniatus","Slate-throated whitestart","Myioborus","Parulidae","Passeriformes","Aves","Chordata","Animalia","Aves",NA,NA,"Mumme","J Field Ornithol","2015","10.1111/jofo.12093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","Mean","Unmanipulated",NA,NA,NA,NA,NA,NA,NA,"Divided","Yes","Same paper source, but matrix modells are sex specific",15,NA
"Petromyzon_marinus","Petromyzon marinus","Sea lamprey","Petromyzon","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Animalia","Cephalaspidomorphi",NA,NA,"Howe; Marsden; Donovan; Lamberson","J Great Lakes Res","2012","10.1016/j.jglr.2011.11.002",NA,NA,NA,NA,NA,NA,"No","Yes","No","FRANK",44.5666666666667,-73.35,30,"USA; CAN","N America","LLE","A","Mean","Unmanipulated",NA,NA,NA,"FRANK",NA,NA,"FRANK","Divided","Yes","FRANK",15,1.76
