"SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue"
"Carcharias_taurus_4","Carcharias taurus","Sand tiger shark ; Grey nurse shark","Carcharias","Odontaspididae","Lamniformes","Elasmobranchii","Chordata","Animalia","Elasmobranchii",NA,NA,"Otway; Bradshaw; Harcourt","Biol Cons","2004","10.1016/j.biocon.2003.11.017","Cortes Book 2012",0,2001,2001,"1",1,"No","No","Yes","South eastern Australian waters",NA,NA,NA,"AUS","Oceania","TSS","F","Individual","Unmanipulated","W",2001,"3","5",2001,"3","6","Divided","Yes","No coordinates because it is a moving marine species",25,0.8318
"Homo_sapiens_subsp._sapiens","Homo sapiens sapiens","Human","Homo","Hominidae","Primates","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Keyfitz; Flieger","Book","1990","0-226-43237-8",NA,21,1965,1985,"0.2",157,"No","No","Yes","Mauritius",-20.1666666666667,57.5166666666667,40,"MUS","Africa","TMB","F","Individual","Unmanipulated","W",1975,NA,NA,1980,NA,NA,"Divided","Yes","The GPS coordinates were approximated to the capital of the popuation country (Monrovia). Only reproduction relevant stages are included in the matrix.",12,0.99752
"Homo_sapiens_subsp._sapiens","Homo sapiens sapiens","Human","Homo","Hominidae","Primates","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Keyfitz; Flieger","Book","1990","0-226-43237-8",NA,21,1965,1985,"0.2",157,"No","No","Yes","South Africa (excl. black population)",-25.9333333333333,28.1,1508,"ZAF","Africa","TMB","F","Individual","Unmanipulated","W",1965,NA,NA,1970,NA,NA,"Divided","Yes","The GPS coordinates were approximated to the capital of the popuation country (Pretoria). Only reproduction relevant stages are included in the matrix.",12,0.99668
"Homo_sapiens_subsp._sapiens","Homo sapiens sapiens","Human","Homo","Hominidae","Primates","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Keyfitz; Flieger","Book","1990","0-226-43237-8",NA,21,1965,1985,"0.2",157,"No","No","Yes","Guam",13.4666666666667,144.75,19,"GUM","Oceania","TMB","F","Individual","Unmanipulated","W",1975,NA,NA,1980,NA,NA,"Divided","Yes","The GPS coordinates were approximated to the capital of the popuation country (Hagåtña). Only reproduction relevant stages are included in the matrix.",12,0.99876
"Homo_sapiens_subsp._sapiens","Homo sapiens sapiens","Human","Homo","Hominidae","Primates","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Keyfitz; Flieger","Book","1990","0-226-43237-8",NA,21,1965,1985,"0.2",157,"No","No","Yes","Chile",-33.45,-70.6666666666667,530,"CHL","S America","TMB","F","Individual","Unmanipulated","W",1975,NA,NA,1980,NA,NA,"Divided","Yes","The GPS coordinates were approximated to the capital of the popuation country (Santiago de Chile). Only reproduction relevant stages are included in the matrix.",12,0.99765
"Homo_sapiens_subsp._sapiens","Homo sapiens sapiens","Human","Homo","Hominidae","Primates","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Keyfitz; Flieger","Book","1990","0-226-43237-8",NA,21,1965,1985,"0.2",157,"No","No","Yes","Argentinia",-34.6,-58.3666666666667,31,"ARG","S America","TMB","F","Individual","Unmanipulated","W",1965,NA,NA,1970,NA,NA,"Divided","Yes","The GPS coordinates were approximated to the capital of the popuation country (Buenos Aires). Only reproduction relevant stages are included in the matrix.",12,0.9972
"Scolytus_ventralis","Scolytus ventralis","Fir engraver beetle","Scolytus","Curculionidae","Coleoptera","Insecta","Arthropoda","Animalia","Insecta",NA,NA,"Berryman","Can Entomol","1973","10.4039/Ent1051465-11","Morris Ecol 2008",3,1966,1968,"1",1,"No","Yes","No","Moscow, Idaho",46.9340266666667,-116.63455,829,"USA","N America","TCF","F","Individual","Unmanipulated","W",1966,"1",NA,1967,"1",NA,"Divided","Yes",NA,6,0.938
"Scolytus_ventralis","Scolytus ventralis","Fir engraver beetle","Scolytus","Curculionidae","Coleoptera","Insecta","Arthropoda","Animalia","Insecta",NA,NA,"Berryman","Can Entomol","1973","10.4039/Ent1051465-11","Morris Ecol 2008",3,1966,1968,"1",1,"No","Yes","No","Moscow, Idaho",46.9340266666667,-116.63455,829,"USA","N America","TCF","F","Individual","Unmanipulated","W",1967,"1",NA,1968,"1",NA,"Divided","Yes",NA,6,0.9496
"Alces_alces_5","Alces alces","Moose","Alces","Cervidae","Artiodactyla","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Ericsson","Ecoscience","2001",NA,"Lemaitre & Gaillard Behav Ecol 2013",8,1991,1998,"1",1,"No","No","Yes","Robertsfors",64.2,20.75,103,"SWE","Europe","BOR","M","Mean","Hunting","W",1991,NA,NA,1998,NA,NA,"Divided","No","Only hunting mortality; no fertility observed",10,1
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2004,NA,NA,2004,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2005,NA,NA,2005,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2006,NA,NA,2006,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2007,NA,NA,2007,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2008,NA,NA,2008,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2009,NA,NA,2009,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2010,NA,NA,2010,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2011,NA,NA,2011,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2012,NA,NA,2012,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"F","Individual","Unmanipulated","W",2013,NA,NA,2013,NA,NA,"Divided","No",NA,30,0.97
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Mean","Unmanipulated","W",2003,NA,NA,2013,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2003,NA,NA,2003,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2004,NA,NA,2004,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2005,NA,NA,2005,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2006,NA,NA,2006,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2007,NA,NA,2007,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2008,NA,NA,2008,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2009,NA,NA,2009,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2010,NA,NA,2010,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2011,NA,NA,2011,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2012,NA,NA,2012,NA,NA,"Divided","No",NA,30,0.93
"Eumetopias_jubatus_4","Eumetopias jubatus","Northern sea lion; Steller sea lion","Eumetopias","Otariidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Maniscalco; Springer; Adkison; Parker","PLOS One","2015","10.1371/journal.pone.0140982","Maniscalco PLOS One 2015 SI",11,2003,2013,"1",1,"No","No","Yes","Chiswell Island",59.6002222222222,-149.56675,14,"USA","N America",NA,"M","Individual","Unmanipulated","W",2013,NA,NA,2013,NA,NA,"Divided","No",NA,30,0.93
"Puma_concolor_8","Puma concolor","Cougar","Puma","Felidae","Carnivora","Mammalia","Chordata","Animalia","Mammalia",NA,NA,"Clark","PhD Thesis","2014",NA,NA,NA,NA,NA,"1",2,"No","No","Yes","Catherine Creek Wildlife Management Unit, Oregon",NA,NA,NA,"USA","N America","TCF","M","Pooled","Hunting with Dogs","W",1989,NA,NA,1994,NA,NA,"Divided","Yes",NA,14,NA
"Kinosternon_flavescens_3","Kinosternon flavescens","Yellow mud turtle","Kinosternon","Kinosternidae","Testudines","Reptilia","Chordata","Animalia","Reptilia",NA,NA,"Iverson","Herpetologica","1991","10.2307/1447431",NA,8,1981,1988,"1",1,"No","No","Yes","Gimlet Lake",NA,NA,NA,"USA","N America","TGS","F","Pooled","Unmanipulated","W",1981,NA,NA,1988,NA,NA,"Divided","Yes",NA,73,0.95
"Kinosternon_subrubrum","Kinosternon subrubrum","Common mud turtle","Kinosternon","Kinosternidae","Testudines","Reptilia","Chordata","Animalia","Reptilia",NA,NA,"Heppell","Copeia","1998","10.2307/1447430","Frazer Ecol 1991",14,1975,1988,"1",1,"No","Based on age","Yes","Ellenton Bay: Aiken, South Carolina",32.0333333333333,-80.85,0,"USA","N America","TSS","F","Mean","Worst case","W",1975,NA,NA,1988,NA,NA,"Divided","Yes","it appears best and worst case fecundity were switched, but follewed note in Table 1",4,0.876
